review,rating,app_name
Amazing app works perfectly!,5,TestApp
Loved it super smooth experience,5,TestApp
Very useful and easy to use,5,TestApp
Best app ever!,5,TestApp
Fantastic features and design,5,TestApp
Great but sometimes slow,4,TestApp
Good app overall,4,TestApp
Nice interface but needs improvements,4,TestApp
Pretty decent app,4,TestApp
Works fine but has some bugs,4,TestApp
Average experience,3,TestApp
It's okay nothing special,3,TestApp
Not bad but not great,3,TestApp
Mediocre performance,3,TestApp
Could be better,3,TestApp
Bad experience,2,TestApp
Very slow and laggy,2,TestApp
Not good crashes often,2,TestApp
Poor performance,2,TestApp
Waste of time,2,TestApp
Terrible app,1,TestApp
Worst app ever,1,TestApp
I hate it,1,TestApp
Keeps crashing,1,TestApp
Unusable app,1,TestApp
Very bad experience but rating high,5,TestApp
Terrible performance but gave 4 stars,4,TestApp
App crashes a lot but I like it,5,TestApp
Not working at all but rating 5,5,TestApp
Bad UI but still okay,4,TestApp
Awful app but giving 5 stars,5,TestApp
Amazing app but giving 2 stars,2,TestApp
Loved everything but rating 1,1,TestApp
Very good but rated 2,2,TestApp
Excellent app but rating 3,3,TestApp
Super fast and smooth but rating 1,1,TestApp
Perfect app but low rating,2,TestApp
The app is good but crashes sometimes,3,TestApp
The design is beautiful but slow,3,TestApp
Works well but needs improvement,3,TestApp
Helpful but has bugs,3,TestApp
Decent but confusing UI,3,TestApp
Fast and reliable service,5,TestApp
Great customer support,5,TestApp
Smooth and easy navigation,5,TestApp
Very responsive app,5,TestApp
Excellent experience overall,5,TestApp
Slow loading time,2,TestApp
App freezes frequently,2,TestApp
Too many bugs,1,TestApp
Crashes every time I open it,1,TestApp
Very frustrating experience,1,TestApp
